combattant_1,combattant_2,resultat,methode
Joaquin Buckley,Colby Covington,0,KO/TKO
Billy Quarantillo,Cub Swanson,1,KO/TKO
Manel Kape,Bruno Silva,0,KO/TKO
Vitor Petrino,Dustin Jacoby,1,KO/TKO
Daniel Marcos,Adrian Yanez,0,DEC
Tuco Tokkos,Navajo Stirling,1,DEC
Michael Johnson,Ottman Azaitar,0,KO/TKO
Drakkar Klose,Joel Alvarez,1,KO/TKO
Sean Woodson,Fernando Padilla,0,KO/TKO
Miles Johns,Felipe Lima,1,DEC
Miranda Maverick,Jamey-Lyn Horth,0,DEC
Ramon Taveras,Davey Grant,1,DEC
Piera Rodriguez,Josefine Knutsson,0,DEC
Alexandre Pantoja,Kai Asakura,0,SUB
Ian Machado Garry,Shavkat Rakhmonov,1,DEC
Ciryl Gane,Alexander Volkov,0,DEC
Kron Gracie,Bryce Mitchell,1,KO/TKO
Dooho Choi,Nate Landwehr,0,KO/TKO
Anthony Smith,Dominick Reyes,1,KO/TKO
Vicente Luque,Themba Gorimbo,0,SUB
Aljamain Sterling,Movsar Evloev,1,DEC
Bryan Battle,Randy Brown,0,DEC
Chris Weidman,Eryk Anders,1,KO/TKO
Joshua Van,Cody Durden,0,DEC
Max Griffin,Michael Chiesa,1,SUB
Chase Hooper,Clay Guida,0,SUB
Lukasz Brzeski,Kennedy Nzechukwu,1,KO/TKO
Petr Yan,Deiveson Figueiredo,0,DEC
Tabatha Ricci,Yan Xiaonan,1,DEC
Muslim Salikhov,Song Kenan,0,KO/TKO
Wang Cong,Gabriella Fernandes,1,SUB
Carlos Ulberg,Volkan Oezdemir,0,DEC
Ozzy Diaz,Zhang Mingyang,1,KO/TKO
SuYoung You,Baergeng Jieleyisi,0,DEC
Kiru Sahota,DongHun Choi,1,KO/TKO
Shi Ming,Feng Xiaocan,0,KO/TKO
Nyamjargal Tumendemberel,Carlos Hernandez,1,DEC
Lone'er Kavanagh,Jose Ochoa,0,DEC
Quang Le,Xiao Long,1,KO/TKO
Nikolas Motta,Maheshate,0,DEC
Jon Jones,Stipe Miocic,0,KO/TKO
Michael Chandler,Charles Oliveira,1,DEC
Bo Nickal,Paul Craig,0,DEC
Karine Silva,Viviane Araujo,1,DEC
Mauricio Ruffy,James Llontop,0,DEC
Jonathan Martinez,Marcus McGhee,1,DEC
Jim Miller,Damon Jackson,0,SUB
Roberto Romero,David Onama,1,DEC
Marcin Tybura,Jhonata Diniz,0,KO/TKO
Mickey Gall,Ramiz Brahimaj,1,KO/TKO
Oban Elliott,Bassil Hafez,0,KO/TKO
Veronica Hardy,Eduarda Moura,1,DEC
Carlos Prates,Neil Magny,0,KO/TKO
Gerald Meerschaert,Reinier de Ridder,1,SUB
Gaston Bolanos,Cortavious Romious,0,DEC
Luana Pinheiro,Gillian Robertson,1,DEC
Mansur Abdul-Malik,Dusko Todorovic,0,KO/TKO
Karolina Kowalkiewicz,Denise Gomes,1,DEC
Elizeu Zaleski dos Santos,Zachary Scroggin,0,KO/TKO
Matthew Semelsberger,Charles Radtke,1,KO/TKO
Da'Mon Blackshear,Cody Stamann,0,SUB
Antonio Trocoli,Tresean Gore,1,SUB
Melissa Mullins,Klaudia Sygula,0,KO/TKO
Brandon Moreno,Amir Albazi,0,DEC
Rose Namajunas,Erin Blanchfield,1,DEC
Brendson Ribeiro,Caio Machado,0,DEC
Ariane da Silva,Jasmine Jasudavicius,1,SUB
Dustin Stoltzfus,Marc-Andre Barriault,0,KO/TKO
Trevin Giles,Mike Malott,1,DEC
Aiemann Zahabi,Pedro Munhoz,0,DEC
Victor Henry,Charles Jourdain,1,SUB
Youssef Zalal,Jack Shore,0,SUB
Rodrigo Nascimento,Alexandr Romanov,1,DEC
Serhiy Sidey,Garrett Armfield,0,DEC
Chad Anheliger,Cody Gibson,1,DEC
Jamey-Lyn Horth,Ivana Petrovic,0,DEC
Ilia Topuria,Max Holloway,0,KO/TKO
Robert Whittaker,Khamzat Chimaev,1,SUB
Magomed Ankalaev,Aleksandar Rakic,0,DEC
Dan Ige,Lerone Murphy,1,DEC
Shara Magomedov,Armen Petrosyan,0,KO/TKO
Rafael Cerqueira,Ibo Aslan,1,KO/TKO
Geoff Neal,Rafael Dos Anjos,0,KO/TKO
Myktybek Orolbai,Mateusz Rebecki,1,DEC
Abus Magomedov,Brunno Ferreira,0,SUB
Chris Barnett,Kennedy Nzechukwu,1,KO/TKO
Farid Basharat,Victor Hugo,0,DEC
Bruno Silva,Ismail Naurdiev,1,DEC
Rinat Fakhretdinov,Carlos Leal,0,DEC
Anthony Hernandez,Michel Pereira,0,KO/TKO
Kyler Phillips,Rob Font,1,DEC
Charles Johnson,Sumudaerji,0,DEC
Jake Hadley,Cameron Smotherman,1,DEC
Darren Elkins,Daniel Pineda,0,DEC
Matheus Nicolau,Asu Almabayev,1,DEC
Jean Matsumoto,Brad Katona,0,DEC
Tamires Vidal,Joselyne Edwards,1,SUB
Elise Reed,Jessica Penne,0,DEC
Alice Ardelean,Melissa Martinez,1,DEC
Austen Lane,Robelis Despaigne,0,DEC
Brandon Royval,Tatsuro Taira,0,DEC
Brad Tavares,JunYong Park,1,DEC
Chidi Njokuani,Jared Gooden,0,DEC
Rafa Garcia,Grant Dawson,1,KO/TKO
Daniel Rodriguez,Alex Morono,0,DEC
CJ Vergara,Ramazan Temirov,1,KO/TKO
Pat Sabatini,Jonathan Pearce,0,SUB
Niko Price,Themba Gorimbo,1,DEC
Junior Tafa,Sean Sharaf,0,KO/TKO
Cory McKenna,Julia Polastri,1,DEC
Cody Haddon,Dan Argueta,0,DEC
Lucas Rocha,Clayton Carpenter,1,SUB
Alex Pereira,Khalil Rountree Jr.,0,KO/TKO
Raquel Pennington,Julianna Pena,1,DEC
Mario Bautista,Jose Aldo,0,DEC
Kevin Holland,Roman Dolidze,1,KO/TKO
Kayla Harrison,Ketlen Vieira,0,DEC
Stephen Thompson,Joaquin Buckley,1,KO/TKO
Iasmin Lucindo,Marina Rodriguez,0,DEC
Austin Hubbard,Alexander Hernandez,1,DEC
Cesar Almeida,Ihor Potieria,0,DEC
Ovince Saint Preux,Ryan Spann,1,SUB
Tecia Pennington,Carla Esparza,0,DEC
Tim Means,Court McGee,1,SUB
Renato Moicano,Benoit Saint Denis,0,KO/TKO
Brendan Allen,Nassourdine Imavov,1,DEC
William Gomis,Joanderson Brito,0,DEC
Kevin Jousset,Bryan Battle,1,KO/TKO
Morgan Charriere,Gabriel Miranda,0,KO/TKO
Matt Frevola,Fares Ziam,1,KO/TKO
Ion Cutelaba,Ivan Erslan,0,DEC
Da Woon Jung,Oumar Sy,1,DEC
Ludovit Klein,Roosevelt Roberts,0,DEC
Vince Morales,Taylor Lapilus,1,DEC
Ailin Perez,Daria Zhelezniakova,0,SUB
Victor Altamirano,Daniel Barez,1,DEC
Jacqueline Cavalcanti,Nora Cornolle,0,DEC
Bolaji Oki,Chris Duncan,1,SUB
Merab Dvalishvili,Sean O'Malley,0,DEC
Alexa Grasso,Valentina Shevchenko,1,DEC
Diego Lopes,Brian Ortega,0,DEC
Daniel Zellhuber,Esteban Ribovics,1,DEC
Ronaldo Rodriguez,Ode Osbourne,0,DEC
Irene Aldana,Norma Dumont,1,DEC
Ignacio Bahamondes,Manuel Torres,0,KO/TKO
Yazmin Jauregui,Ketlen Souza,1,SUB
Joshua Van,Edgar Chairez,0,DEC
Aoriqileng,Raul Rosas Jr.,1,DEC
Sean Brady,Gilbert Burns,0,DEC
Jessica Andrade,Natalia Silva,1,DEC
Steve Garcia,Kyle Nelson,0,KO/TKO
Matt Schnell,Cody Durden,1,SUB
Yanal Ashmouz,Trevor Peek,0,DEC
Rongzhu,Chris Padilla,1,KO/TKO
Isaac Dulgarian,Brendon Marotte,0,SUB
Felipe dos Santos,Andre Lima,1,DEC
Gabriel Santos,Yizha,0,DEC
Vanessa Demopoulos,Jaqueline Amorim,1,SUB
Andre Petroski,Dylan Budka,0,DEC
Zygimantas Ramaska,Nathan Fletcher,1,SUB
Caio Borralho,Jared Cannonier,0,DEC
Angela Hill,Tabatha Ricci,1,DEC
Ryan Loder,Robert Valentin,0,KO/TKO
Kaan Ofli,Mairon Santos,1,KO/TKO
Michael Morales,Neil Magny,0,KO/TKO
Edmen Shahbazyan,Gerald Meerschaert,1,SUB
Francis Marshall,Dennis Buzukja,0,DEC
Jose Daniel Medina,Zachary Reese,1,DEC
Viacheslav Borshchev,James Llontop,0,DEC
Josiane Nunes,Jacqueline Cavalcanti,1,DEC
Wang Cong,Victoria Leonardo,0,KO/TKO
Dricus Du Plessis,Israel Adesanya,0,SUB
Steve Erceg,Kai Kara-France,1,KO/TKO
Dan Hooker,Mateusz Gamrot,0,DEC
Tai Tuivasa,Jairzinho Rozenstruik,1,DEC
Carlos Prates,Li Jingliang,0,KO/TKO
Junior Tafa,Valter Walker,1,SUB
Ricardo Ramos,Josh Culibao,0,DEC
Luana Santos,Casey O'Neill,1,DEC
Jack Jenkins,Herbert Burns,0,KO/TKO
Alex Reyes,Tom Nolan,1,DEC
Song Kenan,Ricky Glenn,0,DEC
Stewart Nicoll,Jesus Aguilar,1,SUB
Serghei Spivac,Marcin Tybura,0,SUB
Damon Jackson,Chepe Mariscal,1,DEC
Danny Barlow,Nikolay Veretennikov,0,DEC
Quang Le,Chris Gutierrez,1,DEC
Yana Santos,Chelsea Chandler,0,DEC
Charalampos Grigoriou,Toshiomi Kazama,1,SUB
Karol Rosa,Pannie Kianzad,0,DEC
Karl Williams,Jhonata Diniz,1,DEC
Youssef Zalal,Jarno Errens,0,SUB
Talita Alencar,Stephanie Luciano,1,DEC
Umar Nurmagomedov,Cory Sandhagen,0,DEC
Michal Oleksiejczuk,Shara Magomedov,1,DEC
Deiveson Figueiredo,Marlon Vera,0,DEC
Tony Ferguson,Michael Chiesa,1,SUB
Mackenzie Dern,Loopy Godinez,0,DEC
Elves Brener,Joel Alvarez,1,KO/TKO
Azamat Murzakanov,Alonzo Menifield,0,KO/TKO
Mohammad Yahya,Kaue Fernandes,1,KO/TKO
Shamil Gaziev,Don'Tale Mayes,0,DEC
Jordan Vucenic,Guram Kutateladze,1,DEC
Sam Hughes,Viktoriia Dudakova,0,DEC
Rolando Bedoya,Jai Herbert,1,DEC
Sedriques Dumas,Denis Tiuliulin,0,DEC
Belal Muhammad,Leon Edwards,0,DEC
Curtis Blaydes,Tom Aspinall,1,KO/TKO
Paddy Pimblett,King Green,0,SUB
Christian Leroy Duncan,Gregory Rodrigues,1,DEC
Arnold Allen,Giga Chikadze,0,DEC
Daniel Pineda,Nathaniel Wood,1,DEC
Bruna Brasil,Molly McCann,0,DEC
Caolan Loughran,Jake Hadley,1,DEC
Muhammad Mokaev,Manel Kape,0,DEC
Preston Parsons,Oban Elliott,1,DEC
Modestas Bukauskas,Marcin Prachnio,0,SUB
Kiefer Crosbie,Sam Patterson,1,SUB
Mick Parkin,Lukasz Brzeski,0,KO/TKO
Alice Ardelean,Shauna Bannon,1,DEC
Virna Jandiroba,Amanda Lemos,0,SUB
SeungWoo Choi,Steve Garcia,1,KO/TKO
Kurt Holobaugh,Kaynan Kruschewsky,0,DEC
Cody Durden,Bruno Silva,1,KO/TKO
Dooho Choi,Bill Algeo,0,KO/TKO
JeongYeong Lee,Hyder Amil,1,KO/TKO
Cody Gibson,Brian Kelleher,0,SUB
Dione Barbosa,Miranda Maverick,1,DEC
Trey Ogden,Loik Radzhabov,0,DEC
Lucie Pudilova,Luana Carolina,1,DEC
Thomas Petersen,Mohammed Usman,0,DEC
Rose Namajunas,Tracy Cortez,0,DEC
Santiago Ponzinibbio,Muslim Salikhov,1,DEC
Jean Silva,Drew Dober,0,KO/TKO
Ange Loosa,Gabriel Bonfim,1,DEC
Julian Erosa,Christian Rodriguez,0,SUB
Cody Brundage,Abdul Razak Alhassan,1,CNC
Charles Johnson,Joshua Van,0,KO/TKO
Fatima Kline,Jasmine Jasudavicius,1,DEC
Montel Jackson,Da'Mon Blackshear,0,KO/TKO
Mariya Agapova,Luana Santos,1,SUB
Andre Petroski,Josh Fremd,0,DEC
Darrius Flowers,Evan Elder,1,SUB
Alex Pereira,Jiri Prochazka,0,KO/TKO
Dan Ige,Diego Lopes,1,DEC
Roman Dolidze,Anthony Smith,0,DEC
Mayra Bueno Silva,Macy Chiasson,1,KO/TKO
Ian Machado Garry,Michael Page,0,DEC
Marc-Andre Barriault,Joe Pyfer,1,KO/TKO
Andre Fili,Cub Swanson,0,DEC
Charles Jourdain,Jean Silva,1,KO/TKO
Payton Talbott,Yanis Ghemmouri,0,KO/TKO
Michelle Waterson-Gomez,Gillian Robertson,1,DEC
Martin Buday,Andrei Arlovski,0,DEC
Carlos Hernandez,Rei Tsuruya,1,DEC
Vinicius Oliveira,Ricky Simon,0,DEC
Robert Whittaker,Ikram Aliskerov,0,KO/TKO
Sergei Pavlovich,Alexander Volkov,1,DEC
Kelvin Gastelum,Daniel Rodriguez,0,DEC
Antonio Trocoli,Shara Magomedov,1,KO/TKO
Volkan Oezdemir,Johnny Walker,0,KO/TKO
Jared Gordon,Nasrat Haqparast,1,DEC
Felipe Lima,Muhammad Naimov,0,SUB
Nicolas Dalby,Rinat Fakhretdinov,1,DEC
Muin Gafurov,Kyung Ho Kang,0,DEC
Brendson Ribeiro,Magomed Gadzhiyasulov,1,M-DEC
ChangHo Lee,Xiao Long,0,DEC
Tatsuro Taira,Alex Perez,0,KO/TKO
Douglas Silva de Andrade,Miles Johns,1,DEC
Lucas Almeida,Timmy Cuamba,0,DEC
Garrett Armfield,Brady Hiestand,1,SUB
Asu Almabayev,Jose Johnson,0,DEC
Josh Quinlan,Adam Fugitt,1,DEC
Nate Maness,Jimmy Flick,0,DEC
Carli Judice,Gabriella Fernandes,1,DEC
Westin Wilson,Jeka Saragih,0,SUB
Shayilan Nuerdanbieke,Melquizael Costa,1,SUB
Josefine Knutsson,Julia Polastri,0,DEC
Nassourdine Imavov,Jared Cannonier,0,KO/TKO
Dustin Jacoby,Dominick Reyes,1,KO/TKO
Raul Rosas Jr.,Ricky Turcios,0,SUB
Dustin Stoltzfus,Brunno Ferreira,1,KO/TKO
Zachary Reese,Julian Marquez,0,KO/TKO
Miguel Baeza,Punahele Soriano,1,DEC
Ludovit Klein,Thiago Moises,0,DEC
Charles Radtke,Carlos Prates,1,KO/TKO
Brad Katona,Jesse Butler,0,DEC
Andrea Lee,Montana De La Rosa,1,DEC
Daniel Marcos,John Castaneda,0,DEC
Eduarda Moura,Denise Gomes,1,DEC
Taylor Lapilus,Cody Stamann,0,DEC
Rayanne dos Santos,Puja Tomar,1,DEC
Islam Makhachev,Dustin Poirier,0,SUB
Paulo Costa,Sean Strickland,1,DEC
Kevin Holland,Michal Oleksiejczuk,0,SUB
Alex Morono,Niko Price,1,DEC
Randy Brown,Elizeu Zaleski dos Santos,0,DEC
Cesar Almeida,Roman Kopylov,1,DEC
Jailton Almeida,Alexandr Romanov,0,SUB
Joe Solecki,Grant Dawson,1,DEC
Jake Matthews,Phil Rowe,0,DEC
Mickey Gall,Bassil Hafez,1,DEC
Ailin Perez,Joselyne Edwards,0,DEC
Mitch Raposo,Andre Lima,1,DEC
Lerone Murphy,Edson Barboza,0,DEC
Carlston Harris,Khaos Williams,1,KO/TKO
Themba Gorimbo,Ramiz Brahimaj,0,DEC
Vinicius Salvador,Adrian Yanez,1,KO/TKO
Angela Hill,Luana Pinheiro,0,SUB
Victor Martinez,Tom Nolan,1,KO/TKO
Oumar Sy,Tuco Tokkos,0,SUB
Tamires Vidal,Melissa Gatto,1,KO/TKO
Abus Magomedov,Warlley Alves,0,DEC
Piera Rodriguez,Ariane Carnelossi,1,DQ
Alatengheili,Kleydson Rodrigues,0,DEC
Emily Ducote,Vanessa Demopoulos,1,DEC
Derrick Lewis,Rodrigo Nascimento,0,KO/TKO
Nursulton Ruziboev,Joaquin Buckley,1,DEC
Carlos Ulberg,Alonzo Menifield,0,KO/TKO
Mateusz Rebecki,Diego Ferreira,1,KO/TKO
Sean Woodson,Alex Caceres,0,DEC
Robelis Despaigne,Waldo Cortes-Acosta,1,DEC
Chase Hooper,Viacheslav Borshchev,0,SUB
Terrance McKinney,Esteban Ribovics,1,KO/TKO
Tabatha Ricci,Tecia Pennington,0,DEC
Billy Ray Goff,Trey Waters,1,DEC
Charles Johnson,Jake Hadley,0,DEC
JJ Aldrich,Veronica Hardy,1,DEC
Alexandre Pantoja,Steve Erceg,0,DEC
Jonathan Martinez,Jose Aldo,1,DEC
Anthony Smith,Vitor Petrino,0,SUB
Ihor Potieria,Michel Pereira,1,SUB
Caio Borralho,Paul Craig,0,KO/TKO
Jack Shore,Joanderson Brito,1,KO/TKO
Iasmin Lucindo,Karolina Kowalkiewicz,0,DEC
Elves Brener,Myktybek Orolbai,1,DEC
Drakkar Klose,Joaquim Silva,0,DEC
Jamie Mullarkey,Mauricio Ruffy,1,KO/TKO
Dione Barbosa,Ernesta Kareckaite,0,DEC
Vinc Pichel,Ismael Bonfim,1,DEC
Alessandro Costa,Kevin Borjas,0,KO/TKO
Alex Perez,Matheus Nicolau,0,KO/TKO
Ryan Spann,Bogdan Guskov,1,KO/TKO
Karine Silva,Ariane da Silva,0,DEC
Austen Lane,Jhonata Diniz,1,KO/TKO
David Onama,Jonathan Pearce,0,DEC
Tim Means,Uros Medic,1,KO/TKO
Victor Henry,Rani Yahya,0,KO/TKO
Michal Figlak,Austin Hubbard,1,DEC
Don'Tale Mayes,Caio Machado,0,DEC
Marnic Mann,Ketlen Souza,1,DEC
Chris Padilla,James Llontop,0,SUB
Liang Na,Ivana Petrovic,1,SUB
Maheshate,Gabriel Benitez,0,DEC
Alex Pereira,Jamahal Hill,0,KO/TKO
Yan Xiaonan,Zhang Weili,1,DEC
Max Holloway,Justin Gaethje,0,KO/TKO
Charles Oliveira,Arman Tsarukyan,1,DEC
Bo Nickal,Cody Brundage,0,SUB
Aleksandar Rakic,Jiri Prochazka,1,KO/TKO
Aljamain Sterling,Calvin Kattar,0,DEC
Holly Holm,Kayla Harrison,1,SUB
Diego Lopes,Sodiq Yusuff,0,KO/TKO
Jalin Turner,Renato Moicano,1,KO/TKO
Jessica Andrade,Marina Rodriguez,0,DEC
Jim Miller,King Green,1,DEC
Deiveson Figueiredo,Cody Garbrandt,0,SUB
Brendan Allen,Chris Curtis,0,DEC
Alexander Hernandez,Damon Jackson,1,DEC
Chepe Mariscal,Morgan Charriere,0,DEC
Christos Giagos,Ignacio Bahamondes,1,KO/TKO
Charlie Campbell,Trevor Peek,0,DEC
Court McGee,Alex Morono,1,DEC
Lukasz Brzeski,Valter Walker,0,DEC
Germaine de Randamie,Norma Dumont,1,DEC
Victor Hugo,Pedro Falcao,0,DEC
Dan Argueta,Jean Matsumoto,1,SUB
Cesar Almeida,Dylan Budka,0,KO/TKO
Melissa Mullins,Nora Cornolle,1,KO/TKO
Manon Fiorot,Erin Blanchfield,0,DEC
Vicente Luque,Joaquin Buckley,1,KO/TKO
Chris Weidman,Bruno Silva,0,DEC
Sedriques Dumas,Nursulton Ruziboev,1,KO/TKO
Kyle Nelson,Bill Algeo,0,KO/TKO
Rhys McKee,Chidi Njokuani,1,DEC
Nate Landwehr,Jamall Emmers,0,KO/TKO
Loopy Godinez,Virna Jandiroba,1,DEC
Julio Arce,Herbert Burns,0,KO/TKO
Connor Matthews,Dennis Buzukja,1,KO/TKO
Ibo Aslan,Anton Turkalj,0,KO/TKO
Andre Petroski,Jacob Malkoun,1,KO/TKO
Caolan Loughran,Angel Pacheco,0,DEC
Rose Namajunas,Amanda Ribas,0,DEC
Justin Tafa,Karl Williams,1,DEC
Edmen Shahbazyan,AJ Dobson,0,KO/TKO
Cameron Saaiman,Payton Talbott,1,KO/TKO
Youssef Zalal,Billy Quarantillo,0,SUB
