NAME,NICKNAME,DIVISION,GENRE,WIN,LOSSES,DRAWS,Actif,ÂGE,LA TAILLE,POIDS,DÉBUT DE L'OCTOGONE,Title_holder,PERMANENT,CLINCH,SOL,KO/TKO,DEC,SUB,sig_str_head,sig_str_body,sig_str_leg,PRÉCISION SAISISSANTE,PRÉCISION DE TAKEDOWN,SIG. STR. A ATTERRI,SIG. FRAPPES ENCAISSÉES,TAKEDOWN AVG,ENVOI AVG,SIG. STR.DÉFENSE,DÉFENSE DE DÉMOLITION,KNOCKDOWN AVG,TEMPS DE COMBAT MOYEN,img_cbt,STYLE DE COMBAT,REACH,PORTÉE DE LA JAMBE,Style de combat,DOB
DANNY ABBADI,"""THE ASSASSIN""",Lightweight Division,Male,2.0,2.0,0.0,False,39.0,71.0,156.0,"JUN. 24, 2006",False,,,,,,,,,,,,,,,,,,,,NO,,,,,
NARIMAN ABBASSOV,,Lightweight Division,Male,28.0,4.0,0.0,True,29.0,68.0,156.0,"DEC. 20, 2024",False,45.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,11.0,0.2,0.0,3.0,5.67,0.0,0.0,0.46,0.67,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-09/ABBASOV_NARIMAN_R.png?itok=XGIJDZKQ,,66.0,,Orthodox,"Feb 01, 1994"
TANK ABBOTT,"""TANK""",Heavyweight Division,Male,10.0,15.0,0.0,False,,72.0,265.0,"JUL. 14, 1995",False,,,,5.0,1.0,2.0,,,,0.3,0.33,1.35,3.55,1.07,0.0,0.38,0.66,,,NO,,,,Switch,
HAMDY ABDELWAHAB,"""THE HAMMER""",Heavyweight Division,Male,5.0,0.0,0.0,True,30.0,74.0,264.5,"JUL. 30, 2022",False,30.0,2.0,26.0,5.0,0.0,0.0,51.0,5.0,2.0,0.53,0.75,3.87,3.13,3.0,0.0,0.59,0.0,1.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/ABDELWAHAB_HAMDY_L_07-30.png?itok=tP37cQIW,WRESTLER,72.0,41.0,Southpaw,"Jan 22, 1993"
MANSUR ABDUL-MALIK,,Middleweight Division,Male,7.0,0.0,0.0,True,27.0,74.0,186.0,"NOV. 9, 2024",False,28.0,2.0,47.0,6.0,0.0,1.0,74.0,2.0,1.0,0.55,0.0,6.61,4.21,0.0,0.0,0.54,0.75,1.29,350.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/ABDUL-MALIK_MANSUR_L_11-09.png?itok=8ONUU4jx,FREESTYLE,79.5,43.0,Orthodox,"Oct 07, 1997"
SHAMIL ABDURAKHIMOV,"""ABREK""",Heavyweight Division,Male,20.0,8.0,0.0,False,41.0,75.0,263.0,"APR. 4, 2015",False,169.0,60.0,22.0,9.0,7.0,4.0,149.0,47.0,55.0,0.44,0.23,2.41,3.02,1.01,0.14,0.55,0.45,0.29,567.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/ABDURAKHIMOV_SHAMIL_L_02_07.png?itok=-JAoDmQ7,GRAPPLER,76.0,41.5,Orthodox,"Sep 02, 1981"
DAICHI ABE,,Welterweight Division,Male,6.0,2.0,0.0,False,31.0,71.0,170.5,"SEP. 22, 2017",False,146.0,11.0,14.0,4.0,2.0,0.0,102.0,12.0,57.0,0.34,0.5,3.8,4.49,0.33,0.0,0.57,0.0,0.33,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8c026dcd-60a4-457e-9cb5-b2c20969cd8f%252FDaichi-Abe_635302_LeftFullBodyImage.png?itok=5Gozk7xe,,71.5,42.0,Orthodox,"Nov 27, 1991"
PAPY ABEDI,"""MAKAMBO""",Middleweight Division,Male,10.0,4.0,0.0,False,44.0,71.0,185.0,"NOV. 5, 2011",False,36.0,34.0,27.0,5.0,2.0,2.0,42.0,46.0,9.0,0.55,0.57,2.8,3.15,3.47,1.3,0.49,0.5,0.0,519.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/b234b354-8110-42f1-8dc3-e12c64426cce%252FPapy-Abedi_205746_LeftFullBodyImage.png?itok=cxcjAQ75,,74.0,,Southpaw,"Jun 30, 1978"
RICARDO ABREU,"""DEMENTE""",Middleweight Division,Male,5.0,1.0,0.0,False,39.0,71.0,183.0,"MAY. 31, 2014",False,58.0,13.0,9.0,3.0,0.0,2.0,65.0,10.0,5.0,0.32,0.43,3.79,3.98,2.13,0.71,0.68,1.0,1.42,633.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69075/profile-galery/fullbodyleft-picture/ricardo-abreu_477654_LeftFullBodyImage.png?VersionId=LJuqnesMlT3hQ25Nq21MoDD7Nwj8n7Nn&itok=w5XMP7Hr,,73.0,,,"Dec 20, 1980"
KLIDSON ABREU,"""WHITE BEAR""",Light Heavyweight Division,Male,15.0,4.0,0.0,False,30.0,74.0,206.0,"FEB. 23, 2019",False,86.0,10.0,0.0,4.0,1.0,10.0,38.0,20.0,38.0,0.41,0.2,2.05,2.9,0.64,0.0,0.56,0.8,0.0,703.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68520/profile-galery/fullbodyleft-picture/ABREU_KLIDSON_L.png?VersionId=BbXEo5JsESM5N88Iv2q7TJdUPAz1J.sR&itok=3bf1RkpJ,BRAZILIAN JIU-JITSU,74.0,40.0,Orthodox,"Dec 24, 1992"
