2024-12-27 16:46:34,708 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:52:45,448 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:55:25,972 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:56:25,972 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:57:35,256 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:58:26,026 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 16:59:23,615 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 17:00:22,574 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 17:01:21,677 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'Height': 76, 'Weight': 248.0, 'Reach': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 17:01:53,433 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'Height': 76, 'Weight': 248.0, 'Reach': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
2024-12-27 17:02:32,194 - 2024-12-27_crawler_UFC_stats - INFO - Metriques recoltees : {'KO/TKO': 6, 'SUB': 6, 'DEC': 10, 'WIN': 28, 'LOSSES': 1, 'DRAWS': 0, 'HEIGHT': 76, 'WEIGHT': 248.0, 'REACH': 84, 'STANCE': 'Orthodox', 'DOB': 'Jul 19, 1987', 'SLpM': 4.38, 'Str. Acc.': 0.58, 'SApM': 2.24, 'Str. Def': 0.64, 'TD Avg.': 1.89, 'TD Acc.': 0.45, 'TD Def.': 0.95, 'Sub. Avg.': 0.5}
